siparis_id,musteri_id,urun_id,adet,birim_fiyat,tarih,durum
127,26,15,2,371.37,09.07.2023,TESLIM
128,69,16,2,3033.19,15.04.2023,Teslim
129,2,14,5,1964.77,2023-06-04,Teslim
130,51,15,1,1468.42,22.03.2024,teslim
131,6,17,3,234.40,2024-11-17,kargoda
132,46,5,4,1579.83,2024-04-05,teslim
133,24,14,4,206.70,03/12/2024,beklemede
134,66,13,3,1100.78,2024-11-15,beklemede
135,73,6,3,3005.94,12.08.2024,TESLIM
136,45,10,1,1739.83,22.07.2023,kargoda
137,71,18,3,3449.02,18/07/2024,TESLIM
138,30,8,1,2670.80,21.05.2023,beklemede
139,31,2,3,869.25,23/06/2023,kargoda
140,44,1,1,3721.80,2024-01-01,kargoda
141,69,3,5,144.93,28/05/2024,kargoda
142,5,14,1,1981.42,2024-04-14,iptal
143,28,6,4,575.77,23/12/2023,beklemede
144,6,8,1,226.94,17/09/2024,kargoda
145,75,3,5,1387.63,2023-10-14,TESLIM
146,43,14,3,1489.14,18.12.2023,iptal
147,60,13,1,,28/12/2024,beklemede
148,18,8,4,2721.92,09.05.2023,beklemede
149,74,7,5,1196.82,09/05/2024,iptal
150,35,15,1,2445.85,20/03/2024,teslim
151,2,16,4,57.52,12.11.2023,iptal
152,30,8,2,3902.56,2023-12-27,teslim
153,19,20,1,822.79,24/03/2024,teslim
154,64,7,1,232.97,05.11.2024,kargoda
155,36,8,1,285.92,2024-01-06,teslim
156,45,8,1,1127.72,25.08.2024,teslim
157,51,11,1,2826.54,27/11/2023,iptal
158,26,10,1,2269.45,28.10.2024,teslim
159,19,20,2,1663.09,2024-01-10,teslim
160,24,18,3,1030.00,2024-03-23,Teslim
161,37,5,1,250.52,2023-04-07,beklemede
162,28,14,5,3651.09,2023-12-02,iptal
163,21,10,3,2295.26,11/10/2023,kargoda
164,12,4,1,3605.33,20.02.2023,kargoda
165,43,11,1,3894.44,25/10/2023,kargoda
166,12,18,4,1425.68,01.12.2023,teslim
167,79,16,5,,08/07/2024,beklemede
168,54,6,3,838.73,2023-10-15,kargoda
169,5,16,5,,24/04/2023,kargoda
170,47,2,1,2032.06,07.11.2023,Teslim
171,31,15,5,3058.29,2023-02-01,TESLIM
172,43,13,2,252.41,12.12.2023,teslim
173,36,14,3,2783.45,09.11.2023,beklemede
174,34,6,1,1361.29,2023-06-11,Teslim
175,44,5,3,1859.95,22.03.2023,TESLIM
176,5,7,2,2759.05,24.09.2023,TESLIM
177,77,10,5,215.48,11/11/2024,kargoda
178,76,1,5,3471.96,10.10.2023,kargoda
179,2,8,5,159.47,02.07.2023,beklemede
180,39,10,3,208.71,2023-12-14,kargoda
181,21,5,3,1736.28,20/04/2023,iptal
182,27,11,2,2748.09,2024-05-05,kargoda
183,18,17,1,704.42,27/02/2024,Teslim
184,8,20,3,,2024-05-22,iptal
185,32,20,1,3268.57,12.02.2024,TESLIM
186,63,11,3,1897.67,16.11.2023,beklemede
187,59,16,2,1045.75,22.04.2024,kargoda
188,58,12,1,1603.15,09/02/2023,kargoda
189,50,18,2,2770.73,2024-04-14,teslim
190,37,16,4,114.41,2024-03-06,iptal
191,50,12,2,1830.38,24/05/2024,iptal
192,6,15,1,2310.93,05.09.2023,iptal
193,73,9,4,3952.26,13/04/2023,kargoda
194,11,1,2,1917.22,2023-01-03,beklemede
195,30,14,2,1760.85,13/03/2024,beklemede
196,14,7,3,2469.73,2023-11-09,TESLIM
197,1,17,1,1390.74,2024-03-23,TESLIM
198,71,16,4,3175.81,23/04/2024,kargoda
199,37,3,2,3871.02,20.10.2023,iptal
200,65,6,2,2843.96,2023-09-28,beklemede
201,53,7,4,1030.54,10.10.2023,kargoda
202,73,1,2,3513.50,13/09/2023,Teslim
203,4,2,3,371.12,04/04/2023,beklemede
204,20,14,4,2005.15,07.02.2023,kargoda
205,66,16,2,2211.91,25.08.2024,TESLIM
206,23,18,3,3062.73,26.09.2023,Teslim
207,68,12,4,2059.29,28/04/2023,TESLIM
208,30,7,3,2088.42,02.11.2024,beklemede
209,19,18,1,1208.37,21.01.2024,TESLIM
210,61,20,5,3598.39,19/08/2024,beklemede
211,70,7,5,1429.92,11.01.2023,beklemede
212,11,18,3,2685.21,05/08/2024,beklemede
213,40,9,1,3769.88,2023-09-25,beklemede
214,26,8,1,2592.18,2024-09-13,kargoda
215,10,5,1,3429.34,22/09/2024,Teslim
216,32,4,3,2935.41,2023-04-27,beklemede
217,51,1,1,587.27,2024-12-22,kargoda
218,54,13,3,2645.56,2024-06-25,Teslim
219,55,12,3,3801.95,13/07/2023,Teslim
220,74,5,2,,18.07.2024,iptal
221,6,4,5,1923.86,2023-12-22,beklemede
222,33,5,2,375.68,24.08.2023,iptal
223,1,16,2,462.73,13/09/2024,iptal
224,35,6,3,2006.50,01.10.2024,kargoda
225,30,9,1,2899.22,10.04.2023,teslim
226,38,15,3,2806.91,13/06/2024,Teslim
227,35,12,5,2889.12,14.04.2024,TESLIM
228,51,4,2,1111.01,27.11.2024,teslim
229,20,9,5,2260.53,08.09.2023,teslim
230,23,4,3,2718.52,16/08/2023,kargoda
231,75,1,5,2837.62,28.01.2023,TESLIM
232,56,12,4,2760.49,24.08.2024,kargoda
233,3,14,2,1848.27,2024-11-15,iptal
234,67,18,5,3947.52,09.08.2023,kargoda
235,33,15,3,1181.19,2023-07-18,kargoda
236,7,1,4,2796.91,13/11/2023,kargoda
237,7,20,4,863.24,22/06/2023,teslim
238,12,9,1,2492.91,06.10.2023,TESLIM
239,11,5,5,219.53,01/12/2024,Teslim
240,47,11,3,2635.23,19.11.2023,teslim
241,25,13,4,1349.56,04.10.2024,TESLIM
242,50,17,1,1221.74,25.11.2023,beklemede
243,61,15,4,3081.57,2023-08-22,Teslim
244,45,13,3,1220.02,21.10.2023,beklemede
245,20,20,3,1300.60,08/01/2023,iptal
246,1,17,2,,18/06/2024,TESLIM
247,30,6,1,3695.35,21/03/2024,Teslim
248,2,10,1,726.77,2024-12-22,iptal
249,53,1,5,2541.79,25.06.2023,beklemede
250,31,20,4,2082.23,2023-05-21,Teslim
251,40,2,4,1915.21,2023-12-18,teslim
252,11,6,4,3875.39,08.12.2024,Teslim
253,67,19,3,3763.78,2024-11-18,beklemede
254,66,16,1,2383.32,01.01.2024,kargoda
255,60,3,1,1048.11,01.04.2023,iptal
256,28,13,4,723.60,16/05/2023,iptal
257,42,18,1,2210.21,20/01/2024,iptal
258,46,8,3,230.96,15.05.2024,TESLIM
259,37,1,3,2820.37,2023-11-15,teslim
260,23,20,3,1930.38,2024-06-01,teslim
261,7,12,2,1267.77,2023-01-10,kargoda
262,53,3,4,959.97,02.10.2023,kargoda
263,48,5,1,3037.13,23.11.2023,kargoda
264,63,20,2,641.13,10.11.2023,Teslim
265,1,16,2,1951.65,06.11.2023,kargoda
266,54,20,3,2357.40,13.08.2024,kargoda
267,44,15,1,1695.09,22/11/2023,iptal
268,47,10,5,1983.89,2024-11-19,teslim
269,45,18,4,1903.64,27/06/2024,kargoda
270,73,14,2,414.68,26.04.2023,iptal
271,53,18,1,3114.96,2024-09-15,kargoda
272,45,19,4,2709.43,25.10.2024,TESLIM
273,57,8,1,,2024-06-06,Teslim
274,26,9,1,2198.84,06.01.2024,kargoda
275,12,11,3,506.84,2024-04-16,kargoda
276,70,19,3,2732.67,05.04.2024,teslim
277,63,4,1,3549.98,19/05/2023,iptal
278,62,1,3,3669.97,2024-05-27,kargoda
279,55,8,3,931.75,22.02.2023,kargoda
280,30,15,4,,2024-04-03,Teslim
281,54,13,1,1244.41,2023-10-03,iptal
282,20,11,4,3715.53,07.06.2024,kargoda
283,66,16,1,1204.26,2023-12-21,beklemede
284,60,9,2,2670.25,2024-09-13,Teslim
285,46,17,3,2495.86,25.02.2024,Teslim
286,73,20,1,1727.86,26/10/2024,Teslim
287,41,7,5,1915.14,2024-11-19,Teslim
288,78,7,4,715.75,16/10/2023,TESLIM
289,23,8,1,2749.17,14/06/2024,TESLIM
290,53,16,1,1447.22,03.05.2024,kargoda
291,34,11,4,709.89,2024-04-21,teslim
292,31,3,5,3166.58,11/11/2023,teslim
293,33,2,5,1854.82,2023-09-08,kargoda
294,46,11,1,1714.52,25/02/2024,beklemede
295,21,1,5,1029.29,14/03/2024,beklemede
296,29,13,1,1364.67,11/08/2023,kargoda
297,28,15,3,3945.72,22.10.2023,teslim
298,69,7,3,3520.50,2024-02-10,teslim
299,69,15,4,3254.72,2023-07-22,kargoda
300,35,7,3,,2023-04-25,beklemede
301,80,18,4,718.55,2024-01-15,teslim
302,35,18,5,,03.11.2024,kargoda
303,18,19,4,2807.14,15.12.2024,teslim
304,55,20,2,3600.17,2023-06-13,teslim
305,51,5,1,1034.29,05/07/2023,beklemede
306,13,13,3,2015.03,16.09.2023,beklemede
307,69,16,4,2963.62,2024-11-17,beklemede
308,56,2,1,1134.07,19.02.2023,teslim
309,56,9,3,3627.77,23/09/2024,Teslim
310,29,14,3,3689.04,2024-12-13,TESLIM
311,40,18,4,1745.93,2024-05-24,teslim
312,75,10,4,2630.83,2024-02-19,iptal
313,75,7,4,1120.32,2024-08-13,teslim
314,41,17,3,2195.13,28.03.2023,iptal
315,48,10,3,3060.11,2024-07-22,beklemede
316,51,4,4,77.94,2024-12-26,TESLIM
317,32,11,1,1790.83,2023-05-01,Teslim
318,11,5,5,2260.84,09.02.2023,beklemede
319,17,4,2,3631.64,05.01.2023,kargoda
320,32,20,2,2849.29,2023-04-20,TESLIM
321,74,7,4,769.27,19/03/2023,iptal
322,64,13,3,2398.08,06/11/2024,kargoda
323,9,19,5,3590.30,18/07/2023,Teslim
324,49,12,4,2954.09,2023-09-22,Teslim
325,62,14,1,3047.43,28.04.2024,iptal
326,14,6,4,2142.24,25/08/2024,TESLIM
327,56,20,3,324.19,18/07/2023,teslim
328,78,19,4,1161.36,22.08.2023,TESLIM
329,71,6,3,1012.33,2023-07-13,teslim
330,59,3,5,144.43,22.09.2024,teslim
331,66,3,5,1162.09,24/04/2024,kargoda
332,28,17,2,1269.60,02.11.2024,TESLIM
333,24,18,2,243.85,10.12.2024,beklemede
334,54,5,3,68.90,2024-04-08,teslim
335,65,13,3,2997.40,14/07/2023,TESLIM
336,32,3,3,963.41,08/05/2024,beklemede
337,26,15,2,2496.62,16/03/2023,beklemede
338,48,2,4,3164.28,14/11/2024,iptal
339,59,2,4,2648.24,2024-07-13,teslim
340,72,14,5,3265.08,17.10.2024,Teslim
341,28,9,1,2377.37,20/09/2023,TESLIM
342,27,5,4,3916.33,2024-10-06,kargoda
343,52,1,2,2179.06,11.05.2024,iptal
344,71,8,5,2883.43,05/02/2024,iptal
345,78,1,5,115.42,20/05/2024,kargoda
346,37,12,1,1334.46,05/04/2024,Teslim
347,5,10,5,250.81,13.01.2024,beklemede
348,14,9,3,2015.30,2023-02-13,TESLIM
349,22,6,2,905.82,27/04/2023,TESLIM
350,80,5,1,2409.07,2023-08-20,TESLIM
351,14,3,5,574.69,21/08/2023,Teslim
352,17,18,2,3407.91,11/04/2023,kargoda
353,36,12,1,3919.16,2024-10-01,Teslim
354,27,17,2,2886.58,12/08/2023,iptal
355,44,7,1,1513.37,24.11.2024,iptal
356,58,14,4,1802.76,06/04/2023,beklemede
357,29,18,1,3082.78,2024-11-28,Teslim
358,74,18,2,409.70,2024-07-12,kargoda
359,3,8,4,3708.42,02/04/2024,beklemede
360,1,1,5,1560.62,25.06.2024,teslim
361,66,11,3,1883.75,25/12/2023,beklemede
362,13,14,1,2648.84,20.07.2024,Teslim
363,40,3,5,,23/05/2024,kargoda
364,24,6,5,2809.85,04/06/2023,iptal
365,16,1,2,499.56,07.12.2024,kargoda
366,7,9,3,695.26,15.09.2024,beklemede
367,32,7,5,479.12,10/08/2023,kargoda
368,28,4,1,1783.63,19/11/2023,iptal
369,38,11,5,1315.44,07.08.2024,kargoda
370,67,9,1,1961.13,16.04.2023,kargoda
371,46,11,1,2562.18,11/06/2024,kargoda
372,22,10,5,3304.86,11.05.2024,beklemede
373,46,13,5,941.89,21.10.2023,teslim
374,17,13,5,1773.46,2023-06-20,beklemede
375,45,5,4,2554.22,2023-07-06,kargoda
376,10,16,4,3422.27,14.06.2023,teslim
377,51,8,4,2015.17,2024-01-25,iptal
378,62,10,4,248.62,13/06/2024,teslim
379,24,4,5,1187.80,03.06.2024,kargoda
380,13,16,2,1138.59,2023-04-07,kargoda
381,12,4,5,860.51,20.08.2023,kargoda
382,5,11,3,644.98,07.08.2023,TESLIM
383,49,2,5,3156.36,04/09/2023,beklemede
384,22,14,5,2189.54,24.03.2024,TESLIM
385,71,2,4,2976.29,24/05/2023,Teslim
386,15,3,5,1309.57,2024-12-05,Teslim
387,36,11,2,1789.56,26.03.2024,kargoda
388,60,16,5,808.20,2023-11-10,kargoda
389,80,18,1,1421.36,2024-09-15,Teslim
390,63,5,3,3870.48,23/01/2023,kargoda
391,28,13,5,2121.93,18.09.2024,teslim
392,76,19,4,275.95,12/05/2024,kargoda
393,14,1,4,1268.98,06/12/2024,Teslim
394,27,2,1,196.06,12/12/2024,TESLIM
395,56,17,5,1808.66,2024-01-02,Teslim
396,50,8,5,2519.40,2024-01-28,kargoda
397,25,1,4,3841.15,15/05/2023,Teslim
398,50,17,1,2663.56,2023-11-15,teslim
399,42,2,5,323.24,25.04.2023,beklemede
400,30,18,2,274.21,06/05/2023,Teslim
401,44,20,2,1455.32,2023-08-02,teslim
402,40,3,5,,23/05/2024,kargoda
403,40,9,1,3769.88,2023-09-25,beklemede
404,46,8,3,230.96,15.05.2024,TESLIM
405,30,8,2,3902.56,2023-12-27,teslim
406,49,11,4,2610.62,25.04.2023,beklemede
407,11,4,2,3029.51,26/12/2024,Teslim
408,1,17,1,1390.74,2024-03-23,TESLIM
409,2,14,5,1964.77,2023-06-04,Teslim
410,49,12,4,2954.09,2023-09-22,Teslim
411,55,20,2,3600.17,2023-06-13,teslim
412,34,17,3,151.85,10/09/2023,kargoda
413,76,19,4,275.95,12/05/2024,kargoda
414,23,8,1,2749.17,14/06/2024,TESLIM
415,42,2,5,323.24,25.04.2023,beklemede
416,45,15,2,,2023-07-13,teslim
417,32,4,3,2935.41,2023-04-27,beklemede
418,61,15,4,3081.57,2023-08-22,Teslim
419,9,6,1,1502.92,15.02.2023,teslim
420,1,17,1,1390.74,2024-03-23,TESLIM
