zaman,sensor_id,sicaklik,nem
2024-06-01T01:15:11.000Z,S5,24.5,45.8
2024-06-01T01:16:31.000Z,S2,24.0,44.1
2024-06-01T01:17:38.000Z,S4,24.9,45.3
2024-06-01T01:18:24.000Z,S3,24.4,44.6
2024-06-01T01:19:16.000Z,S3,25.0,43.4
2024-06-01T01:20:14.000Z,S1,24.3,44.9
2024-06-01T01:21:36.000Z,S2,22.9,43.8
2024-06-01T01:23:04.000Z,S5,23.5,42.5
2024-06-01T01:23:36.000Z,S5,23.3,43.5
2024-06-01T01:24:49.000Z,S2,22.4,45.4
2024-06-01T01:26:09.000Z,S2,23.1,41.8
2024-06-01T01:27:03.000Z,S3,22.6,43.7
2024-06-01T01:28:07.000Z,S5,23.0,42.7
2024-06-01T01:29:23.000Z,S5,21.7,43.1
2024-06-01T01:30:20.000Z,S3,22.2,43.9
2024-06-01T01:31:41.000Z,S1,20.9,42.0
2024-06-01T01:32:47.000Z,S2,21.3,41.4
2024-06-01T01:33:18.000Z,S4,20.8,40.0
2024-06-01T01:34:11.000Z,S3,20.0,41.4
2024-06-01T01:35:15.000Z,S2,19.6,40.0
2024-06-01T01:36:28.000Z,S3,19.7,42.0
2024-06-01T01:37:51.000Z,S2,19.0,39.6
2024-06-01T01:38:28.000Z,S4,20.0,40.2
2024-06-01T01:39:25.000Z,S2,19.3,40.3
2024-06-01T01:40:33.000Z,S5,18.1,41.4
2024-06-01T01:41:07.000Z,S2,18.8,39.2
2024-06-01T01:42:11.000Z,S1,18.6,37.7
2024-06-01T01:42:53.000Z,S1,17.5,40.5
2024-06-01T01:43:48.000Z,S2,17.2,40.2
2024-06-01T01:45:01.000Z,S2,17.5,37.9
2024-06-01T01:46:26.000Z,S3,18.3,37.5
2024-06-01T01:47:52.000Z,S4,17.8,37.9
2024-06-01T01:48:34.000Z,S4,16.0,39.8
2024-06-01T01:49:57.000Z,S4,17.2,37.6
2024-06-01T01:51:13.000Z,S5,15.8,36.0
2024-06-01T01:52:20.000Z,S2,15.4,37.1
2024-06-01T01:53:01.000Z,S5,15.5,35.8
2024-06-01T01:53:50.000Z,S3,15.6,36.4
2024-06-01T01:54:50.000Z,S2,16.6,38.3
2024-06-01T01:55:20.000Z,S4,16.4,36.8
2024-06-01T01:56:43.000Z,S4,15.6,37.5
2024-06-01T01:57:48.000Z,S4,14.3,38.3
2024-06-01T01:58:18.000Z,S3,14.3,37.0
2024-06-01T01:58:58.000Z,S3,13.9,38.0
2024-06-01T01:59:59.000Z,S3,15.5,37.8
2024-06-01T02:01:25.000Z,S3,13.5,35.3
2024-06-01T02:02:20.000Z,S1,13.4,35.4
2024-06-01T02:03:13.000Z,S3,14.1,36.6
2024-06-01T02:04:32.000Z,S4,13.6,35.8
2024-06-01T02:05:41.000Z,S5,14.9,38.1
2024-06-01T02:06:18.000Z,S3,13.5,37.4
2024-06-01T02:07:26.000Z,S4,12.8,36.2
2024-06-01T02:08:56.000Z,S2,12.8,37.0
2024-06-01T02:09:48.000Z,S2,14.0,36.6
2024-06-01T02:10:22.000Z,S3,13.4,36.3
2024-06-01T02:10:55.000Z,S5,12.5,36.4
2024-06-01T02:11:42.000Z,S4,12.8,39.0
2024-06-01T02:12:48.000Z,S2,12.5,38.6
2024-06-01T02:13:43.000Z,S1,12.7,38.1
2024-06-01T02:14:58.000Z,S2,13.6,38.7
2024-06-01T02:15:32.000Z,S1,13.6,38.2
2024-06-01T02:16:20.000Z,S3,13.3,38.4
2024-06-01T02:17:48.000Z,S3,12.6,39.1
2024-06-01T02:18:56.000Z,S3,13.4,36.7
2024-06-01T02:20:18.000Z,S3,13.9,37.2
2024-06-01T02:21:33.000Z,S1,13.0,39.4
2024-06-01T02:22:06.000Z,S4,13.9,39.4
2024-06-01T02:23:06.000Z,S5,13.2,38.4
2024-06-01T02:23:52.000Z,S1,13.7,40.7
2024-06-01T02:24:47.000Z,S3,13.6,40.3
2024-06-01T02:25:45.000Z,S5,13.4,39.8
2024-06-01T02:26:45.000Z,S2,13.5,40.2
2024-06-01T02:28:02.000Z,S5,12.5,40.4
2024-06-01T02:29:19.000Z,S5,13.6,40.2
2024-06-01T02:30:11.000Z,S3,12.5,41.8
2024-06-01T02:31:30.000Z,S2,13.2,41.5
2024-06-01T02:32:15.000Z,S3,13.5,39.2
2024-06-01T02:33:29.000Z,S4,13.8,42.0
2024-06-01T02:34:06.000Z,S5,13.1,40.9
2024-06-01T02:34:37.000Z,S3,14.7,41.2
2024-06-01T02:36:00.000Z,S4,14.7,42.3
2024-06-01T02:37:12.000Z,S1,14.2,43.6
2024-06-01T02:38:03.000Z,S2,14.6,40.6
2024-06-01T02:38:39.000Z,S4,14.6,42.8
2024-06-01T02:39:50.000Z,S1,14.0,41.6
2024-06-01T02:41:03.000Z,S1,15.8,41.9
2024-06-01T02:41:53.000Z,S2,15.5,41.8
2024-06-01T02:42:32.000Z,S3,15.0,42.5
2024-06-01T02:43:53.000Z,S4,15.1,42.4
2024-06-01T02:45:19.000Z,S5,15.6,43.8
2024-06-01T02:46:30.000Z,S5,15.4,45.0
2024-06-01T02:47:42.000Z,S3,16.7,45.4
2024-06-01T02:48:50.000Z,S2,17.1,47.0
2024-06-01T02:49:28.000Z,S1,15.9,46.6
2024-06-01T02:50:26.000Z,S5,17.4,44.7
2024-06-01T02:51:37.000Z,S3,16.6,48.3
2024-06-01T02:52:24.000Z,S4,17.6,47.1
2024-06-01T02:53:50.000Z,S1,16.5,45.7
2024-06-01T02:55:06.000Z,S2,16.8,48.4
2024-06-01T02:55:43.000Z,S2,17.0,49.1
2024-06-01T02:56:48.000Z,S3,19.0,46.1
2024-06-01T02:58:17.000Z,S5,19.2,47.3
2024-06-01T02:59:34.000Z,S2,18.4,50.8
2024-06-01T03:00:43.000Z,S2,19.1,50.8
2024-06-01T03:02:12.000Z,S5,19.1,49.0
2024-06-01T03:02:47.000Z,S2,19.4,48.4
2024-06-01T03:04:04.000Z,S4,18.9,51.6
2024-06-01T03:05:16.000Z,S4,20.7,52.4
2024-06-01T03:05:59.000Z,S4,21.1,50.6
2024-06-01T03:07:13.000Z,S5,20.1,53.0
2024-06-01T03:08:08.000Z,S3,21.8,50.8
2024-06-01T03:09:27.000Z,S1,21.1,51.1
2024-06-01T03:10:12.000Z,S3,21.3,52.4
2024-06-01T03:10:59.000Z,S1,20.8,51.2
2024-06-01T03:11:41.000Z,S3,21.7,53.1
2024-06-01T03:12:15.000Z,S5,21.4,52.2
2024-06-01T03:13:13.000Z,S5,22.5,55.3
2024-06-01T03:14:43.000Z,S4,22.7,56.4
2024-06-01T03:15:34.000Z,S1,23.7,53.7
2024-06-01T03:17:00.000Z,S2,24.0,55.3
2024-06-01T03:18:17.000Z,S3,22.8,57.4
2024-06-01T03:19:24.000Z,S5,24.5,57.1
2024-06-01T03:20:05.000Z,S4,24.7,55.0
2024-06-01T03:21:02.000Z,S3,23.6,57.7
2024-06-01T03:21:56.000Z,S2,24.1,55.1
2024-06-01T03:22:53.000Z,S5,24.9,59.0
2024-06-01T03:23:39.000Z,S4,24.2,56.3
2024-06-01T03:24:52.000Z,S5,26.1,57.5
2024-06-01T03:26:18.000Z,S2,25.1,56.9
2024-06-01T03:26:52.000Z,S2,25.1,60.2
2024-06-01T03:27:29.000Z,S5,25.4,59.5
2024-06-01T03:28:43.000Z,S5,26.1,58.4
2024-06-01T03:29:36.000Z,S4,25.4,59.6
2024-06-01T03:30:06.000Z,S4,26.2,59.0
2024-06-01T03:31:36.000Z,S3,27.4,61.2
2024-06-01T03:32:33.000Z,S1,25.9,62.2
2024-06-01T03:33:43.000Z,S4,26.6,62.9
2024-06-01T03:35:13.000Z,S5,26.8,61.5
2024-06-01T03:36:17.000Z,S1,27.7,60.9
2024-06-01T03:37:02.000Z,S3,27.7,59.9
2024-06-01T03:38:22.000Z,S2,27.2,63.0
2024-06-01T03:39:52.000Z,S1,27.5,61.3
2024-06-01T03:40:44.000Z,S5,28.5,63.1
2024-06-01T03:41:26.000Z,S2,29.0,62.2
2024-06-01T03:42:51.000Z,S3,28.3,62.7
2024-06-01T03:44:13.000Z,S1,28.0,64.7
2024-06-01T03:45:15.000Z,S4,29.2,62.3
2024-06-01T03:45:55.000Z,S5,27.9,62.2
2024-06-01T03:46:44.000Z,S2,28.2,64.0
2024-06-01T03:48:05.000Z,S2,28.7,64.2
2024-06-01T03:49:06.000Z,S1,29.7,63.4
2024-06-01T03:50:00.000Z,S3,29.4,66.0
2024-06-01T03:50:51.000Z,S4,28.8,66.0
2024-06-01T03:51:56.000Z,S2,29.7,66.5
2024-06-01T03:52:27.000Z,S5,28.7,64.3
2024-06-01T03:53:57.000Z,S2,28.3,65.2
2024-06-01T03:55:16.000Z,S5,29.5,63.9
2024-06-01T03:55:55.000Z,S3,29.5,67.4
2024-06-01T03:57:14.000Z,S5,28.7,66.4
2024-06-01T03:58:04.000Z,S4,29.6,66.4
2024-06-01T03:59:33.000Z,S2,28.7,68.0
2024-06-01T04:00:43.000Z,S1,29.5,67.1
2024-06-01T04:01:54.000Z,S2,29.1,66.7
2024-06-01T04:02:36.000Z,S3,28.4,68.4
2024-06-01T04:03:21.000Z,S5,28.8,65.4
2024-06-01T04:04:24.000Z,S2,28.2,68.4
2024-06-01T04:05:26.000Z,S3,28.9,67.4
2024-06-01T04:06:45.000Z,S5,28.9,65.3
2024-06-01T04:08:04.000Z,S2,28.8,65.7
2024-06-01T04:09:22.000Z,S1,28.9,67.4
2024-06-01T04:09:58.000Z,S4,27.5,67.2
2024-06-01T04:10:46.000Z,S3,27.3,66.2
2024-06-01T04:12:00.000Z,S2,28.8,67.9
2024-06-01T04:13:25.000Z,S1,29.0,68.2
2024-06-01T04:13:55.000Z,S1,27.3,65.4
2024-06-01T04:15:17.000Z,S2,27.9,68.1
2024-06-01T04:15:52.000Z,S1,28.2,68.2
2024-06-01T04:17:22.000Z,S1,27.8,65.7
2024-06-01T04:18:04.000Z,S3,27.0,67.6
2024-06-01T04:18:54.000Z,S4,27.8,68.3
2024-06-01T04:19:36.000Z,S3,27.2,66.3
2024-06-01T04:20:26.000Z,S1,25.7,68.4
2024-06-01T04:21:03.000Z,S3,26.5,67.5
2024-06-01T04:21:52.000Z,S4,26.8,67.0
2024-06-01T04:22:41.000Z,S2,26.7,67.0
2024-06-01T04:23:39.000Z,S2,26.2,66.7
2024-06-01T04:24:53.000Z,S3,25.3,66.9
2024-06-01T04:25:52.000Z,S4,24.8,64.8
2024-06-01T04:26:33.000Z,S1,25.7,64.6
2024-06-01T04:27:28.000Z,S3,25.2,64.7
2024-06-01T04:28:13.000Z,S5,24.0,67.1
2024-06-01T04:29:33.000Z,S5,24.0,65.4
2024-06-01T04:30:34.000Z,S5,23.3,65.1
2024-06-01T04:31:36.000Z,S2,23.5,63.3
2024-06-01T04:32:38.000Z,S3,23.8,64.7
2024-06-01T04:33:21.000Z,S2,24.3,66.2
2024-06-01T04:34:35.000Z,S1,22.9,65.8
2024-06-01T04:35:46.000Z,S3,22.2,64.5
2024-06-01T04:36:38.000Z,S5,23.3,63.6
2024-06-01T04:37:47.000Z,S1,22.3,64.8
2024-06-01T04:39:00.000Z,S4,21.8,62.2
2024-06-01T04:40:15.000Z,S2,22.9,65.5
2024-06-01T04:41:14.000Z,S5,20.9,63.8
2024-06-01T04:41:53.000Z,S5,21.9,62.8
2024-06-01T04:42:30.000Z,S2,21.4,64.6
2024-06-01T04:43:24.000Z,S4,21.6,60.6
2024-06-01T04:44:07.000Z,S1,20.5,60.4
2024-06-01T04:44:37.000Z,S5,20.0,60.4
2024-06-01T04:45:38.000Z,S4,20.3,62.1
2024-06-01T04:46:27.000Z,S2,19.1,60.9
2024-06-01T04:47:47.000Z,S4,20.5,61.3
2024-06-01T04:48:46.000Z,S5,20.1,60.0
2024-06-01T04:49:39.000Z,S5,19.6,60.4
2024-06-01T04:50:39.000Z,S1,19.4,58.6
2024-06-01T04:52:02.000Z,S4,19.5,61.1
2024-06-01T04:53:20.000Z,S4,19.0,61.5
2024-06-01T04:53:57.000Z,S4,18.9,57.4
2024-06-01T04:55:17.000Z,S2,17.4,60.2
2024-06-01T04:56:39.000Z,S1,18.2,58.6
2024-06-01T04:57:49.000Z,S5,17.7,59.0
2024-06-01T04:58:24.000Z,S3,16.1,58.4
2024-06-01T04:59:19.000Z,S1,16.7,57.2
2024-06-01T05:00:37.000Z,S4,16.6,55.8
2024-06-01T05:01:54.000Z,S2,15.9,57.6
2024-06-01T05:02:36.000Z,S1,17.1,56.0
2024-06-01T05:03:28.000Z,S2,15.4,54.4
2024-06-01T05:04:48.000Z,S1,16.1,57.7
2024-06-01T05:05:28.000Z,S5,15.7,56.1
2024-06-01T05:06:30.000Z,S4,14.8,56.6
2024-06-01T05:07:35.000Z,S5,15.5,52.7
2024-06-01T05:09:03.000Z,S4,14.8,54.2
2024-06-01T05:09:35.000Z,S5,14.9,52.7
2024-06-01T05:10:44.000Z,S5,15.6,54.4
2024-06-01T05:11:15.000Z,S5,13.7,55.0
2024-06-01T05:12:24.000Z,S1,13.6,51.2
2024-06-01T05:13:42.000Z,S2,13.3,53.3
2024-06-01T05:14:26.000Z,S4,14.0,51.6
2024-06-01T05:15:10.000Z,S3,14.5,52.5
2024-06-01T05:16:19.000Z,S4,14.2,51.6
2024-06-01T05:17:38.000Z,S2,13.8,52.7
2024-06-01T05:18:35.000Z,S5,13.6,51.8
2024-06-01T05:19:55.000Z,S2,13.1,52.1
2024-06-01T05:20:57.000Z,S1,13.7,50.5
2024-06-01T05:21:37.000Z,S3,13.4,50.9
2024-06-01T05:22:41.000Z,S5,14.3,47.2
2024-06-01T05:23:58.000Z,S4,12.7,48.4
2024-06-01T05:25:16.000Z,S3,13.4,46.4
2024-06-01T05:26:12.000Z,S1,12.9,49.1
2024-06-01T05:26:42.000Z,S1,13.6,49.0
2024-06-01T05:27:30.000Z,S3,12.2,48.6
2024-06-01T05:28:50.000Z,S4,12.6,45.4
2024-06-01T05:30:01.000Z,S5,12.2,46.8
2024-06-01T05:31:13.000Z,S4,13.5,45.5
2024-06-01T05:32:21.000Z,S5,13.8,45.3
2024-06-01T05:32:54.000Z,S4,13.6,45.1
2024-06-01T05:33:57.000Z,S4,12.1,46.3
2024-06-01T05:35:13.000Z,S2,13.1,44.9
2024-06-01T05:36:36.000Z,S4,12.3,43.5
2024-06-01T05:37:51.000Z,S3,13.9,44.5
2024-06-01T05:38:30.000Z,S5,13.4,42.3
2024-06-01T05:39:02.000Z,S1,13.4,43.8
2024-06-01T05:40:20.000Z,S2,12.6,44.1
2024-06-01T05:41:27.000Z,S4,13.0,44.9
2024-06-01T05:42:36.000Z,S3,13.1,40.8
2024-06-01T05:43:10.000Z,S2,13.2,42.0
2024-06-01T05:43:58.000Z,S1,13.7,42.9
2024-06-01T05:45:09.000Z,S2,14.4,42.8
2024-06-01T05:46:30.000Z,S4,13.7,43.0
2024-06-01T05:47:49.000Z,S5,15.0,41.7
2024-06-01T05:49:14.000Z,S4,13.8,41.6
2024-06-01T05:50:19.000Z,S5,14.0,39.0
2024-06-01T05:51:47.000Z,S2,14.5,38.9
2024-06-01T05:52:51.000Z,S4,14.0,40.5
2024-06-01T05:54:14.000Z,S2,14.8,40.1
2024-06-01T05:54:49.000Z,S3,15.6,39.6
2024-06-01T05:56:06.000Z,S4,14.4,38.2
2024-06-01T05:56:50.000Z,S4,14.8,38.3
2024-06-01T05:57:22.000Z,S2,16.6,40.7
2024-06-01T05:58:39.000Z,S2,16.3,38.7
2024-06-01T05:59:31.000Z,S1,15.6,39.3
2024-06-01T06:01:00.000Z,S3,15.5,38.6
2024-06-01T06:01:48.000Z,S4,17.0,38.2
2024-06-01T06:02:38.000Z,S1,17.7,38.4
2024-06-01T06:03:41.000Z,S3,16.7,38.1
2024-06-01T06:04:49.000Z,S5,17.2,36.1
2024-06-01T06:05:39.000Z,S4,16.9,37.5
2024-06-01T06:07:00.000Z,S4,17.8,39.4
2024-06-01T06:07:52.000Z,S2,18.5,36.6
2024-06-01T06:08:38.000Z,S1,18.9,39.0
2024-06-01T06:10:02.000Z,S1,18.6,36.2
2024-06-01T06:10:36.000Z,S4,18.4,36.8
2024-06-01T06:11:49.000Z,S4,18.9,37.0
2024-06-01T06:13:10.000Z,S1,20.0,38.7
2024-06-01T06:14:00.000Z,S2,18.7,38.6
2024-06-01T06:15:22.000Z,S3,18.9,36.2
2024-06-01T06:16:05.000Z,S2,20.6,35.7
2024-06-01T06:17:23.000Z,S1,20.9,37.6
2024-06-01T06:18:16.000Z,S4,20.9,36.0
2024-06-01T06:19:08.000Z,S4,20.6,36.2
2024-06-01T06:20:36.000Z,S4,20.4,35.7
2024-06-01T06:21:44.000Z,S1,21.0,35.2
2024-06-01T06:22:48.000Z,S3,21.4,35.8
2024-06-01T06:23:23.000Z,S5,21.9,38.1
2024-06-01T06:24:28.000Z,S3,22.2,37.2
2024-06-01T06:25:14.000Z,S1,21.6,35.7
2024-06-01T06:26:20.000Z,S5,21.9,35.8
2024-06-01T06:27:22.000Z,S5,22.4,37.7
2024-06-01T06:28:09.000Z,S3,22.6,38.9
2024-06-01T06:29:02.000Z,S5,23.5,36.3
2024-06-01T06:30:08.000Z,S4,23.4,38.0
2024-06-01T06:30:57.000Z,S2,24.3,37.2
2024-06-01T06:31:31.000Z,S4,23.5,35.8
2024-06-01T06:32:46.000Z,S1,23.6,38.6
2024-06-01T06:33:28.000Z,S4,23.7,39.2
2024-06-01T06:34:31.000Z,S2,24.2,39.5
2024-06-01T06:35:40.000Z,S2,24.7,39.4
2024-06-01T06:36:56.000Z,S1,25.0,39.6
2024-06-01T06:37:46.000Z,S1,25.8,37.0
2024-06-01T06:38:16.000Z,S2,25.7,37.1
2024-06-01T06:39:46.000Z,S4,25.7,39.8
2024-06-01T06:40:25.000Z,S1,26.0,40.3
2024-06-01T06:41:17.000Z,S1,26.1,38.4
2024-06-01T06:42:21.000Z,S4,25.9,41.3
2024-06-01T06:42:57.000Z,S1,27.0,40.7
2024-06-01T06:43:32.000Z,S3,26.3,38.5
2024-06-01T06:44:31.000Z,S2,27.0,41.7
2024-06-01T06:45:41.000Z,S3,27.7,38.8
2024-06-01T06:46:46.000Z,S1,28.4,40.5
2024-06-01T06:47:35.000Z,S1,28.2,40.9
2024-06-01T06:48:53.000Z,S1,27.9,41.7
2024-06-01T06:50:19.000Z,S1,26.9,39.7
2024-06-01T06:51:20.000Z,S1,28.8,40.9
2024-06-01T06:52:29.000Z,S5,28.4,41.2
2024-06-01T06:53:28.000Z,S2,28.9,42.3
2024-06-01T06:54:31.000Z,S3,28.5,43.7
2024-06-01T06:56:00.000Z,S3,28.8,43.6
2024-06-01T06:56:53.000Z,S3,27.9,44.3
2024-06-01T06:58:08.000Z,S4,27.9,42.5
2024-06-01T06:58:39.000Z,S1,29.2,44.5
2024-06-01T06:59:15.000Z,S2,28.1,45.5
2024-06-01T07:00:40.000Z,S5,28.8,43.6
2024-06-01T07:01:13.000Z,S3,29.2,43.7
2024-06-01T07:02:42.000Z,S4,29.3,44.2
2024-06-01T07:03:23.000Z,S3,29.2,43.7
2024-06-01T07:04:26.000Z,S5,29.1,46.8
2024-06-01T07:05:17.000Z,S4,29.2,44.8
2024-06-01T07:06:31.000Z,S2,29.0,46.7
2024-06-01T07:07:31.000Z,S4,29.4,48.4
2024-06-01T07:08:15.000Z,S3,28.6,47.1
2024-06-01T07:09:37.000Z,S4,29.0,47.0
2024-06-01T07:10:35.000Z,S4,29.8,46.3
2024-06-01T07:11:58.000Z,S5,28.3,47.5
2024-06-01T07:12:37.000Z,S2,29.2,49.4
2024-06-01T07:13:07.000Z,S3,28.3,49.3
2024-06-01T07:13:55.000Z,S4,28.7,49.0
2024-06-01T07:14:26.000Z,S1,28.4,49.7
2024-06-01T07:15:15.000Z,S2,29.1,48.6
2024-06-01T07:16:03.000Z,S1,28.3,48.7
2024-06-01T07:17:33.000Z,S5,28.4,49.0
2024-06-01T07:18:28.000Z,S4,27.6,49.2
2024-06-01T07:19:36.000Z,S1,27.6,50.8
2024-06-01T07:20:07.000Z,S4,28.1,49.9
2024-06-01T07:21:07.000Z,S1,28.1,51.1
2024-06-01T07:22:17.000Z,S5,27.6,52.5
2024-06-01T07:23:18.000Z,S3,27.6,52.0
2024-06-01T07:24:00.000Z,S4,27.8,51.8
2024-06-01T07:24:45.000Z,S2,27.7,55.1
2024-06-01T07:25:28.000Z,S2,26.4,52.4
2024-06-01T07:26:27.000Z,S5,26.4,52.6
2024-06-01T07:27:19.000Z,S1,26.8,53.0
2024-06-01T07:28:44.000Z,S4,26.9,54.2
2024-06-01T07:29:57.000Z,S5,25.5,54.0
2024-06-01T07:31:15.000Z,S1,26.8,56.1
2024-06-01T07:31:48.000Z,S3,25.2,57.5
2024-06-01T07:32:31.000Z,S4,26.0,55.5
2024-06-01T07:33:08.000Z,S2,25.9,57.9
2024-06-01T07:33:56.000Z,S1,26.0,59.0
2024-06-01T07:34:37.000Z,S1,25.3,56.4
2024-06-01T07:35:12.000Z,S4,24.3,58.7
2024-06-01T07:36:19.000Z,S4,25.6,59.2
2024-06-01T07:37:36.000Z,S4,24.3,60.5
2024-06-01T07:38:52.000Z,S3,24.9,58.9
2024-06-01T07:40:11.000Z,S4,23.2,58.0
2024-06-01T07:41:40.000Z,S4,24.0,60.3
2024-06-01T07:43:03.000Z,S5,22.8,58.8
2024-06-01T07:44:05.000Z,S2,22.8,61.4
2024-06-01T07:44:59.000Z,S3,23.1,61.7
2024-06-01T07:46:13.000Z,S2,21.8,61.2
2024-06-01T07:46:46.000Z,S4,22.7,61.4
2024-06-01T07:47:23.000Z,S2,21.3,62.2
2024-06-01T07:48:05.000Z,S2,22.5,60.3
2024-06-01T07:49:13.000Z,S3,22.0,61.8
2024-06-01T07:50:43.000Z,S5,21.6,61.7
2024-06-01T07:51:57.000Z,S1,21.4,63.4
2024-06-01T07:52:33.000Z,S5,20.3,61.3
2024-06-01T07:53:28.000Z,S3,21.4,61.9
2024-06-01T07:54:51.000Z,S4,20.3,61.4
2024-06-01T07:55:46.000Z,S3,20.8,64.5
2024-06-01T07:57:13.000Z,S1,20.7,65.6
2024-06-01T07:58:43.000Z,S4,19.4,63.4
2024-06-01T07:59:43.000Z,S4,18.5,64.0
2024-06-01T08:00:47.000Z,S1,19.6,64.3
2024-06-01T08:01:25.000Z,S3,18.4,66.3
2024-06-01T08:01:58.000Z,S2,18.8,65.8
2024-06-01T08:02:45.000Z,S2,18.2,66.0
2024-06-01T08:03:56.000Z,S3,17.1,66.2
2024-06-01T08:05:20.000Z,S2,18.2,65.9
2024-06-01T08:06:04.000Z,S4,17.9,66.5
2024-06-01T08:07:09.000Z,S1,18.1,66.9
2024-06-01T08:08:18.000Z,S4,16.5,67.3
2024-06-01T08:09:47.000Z,S4,16.7,67.6
2024-06-01T08:10:37.000Z,S1,17.3,66.2
2024-06-01T08:11:48.000Z,S2,16.4,64.5
2024-06-01T08:12:53.000Z,S2,17.0,64.6
2024-06-01T08:13:54.000Z,S4,15.3,64.6
2024-06-01T08:15:12.000Z,S3,15.0,68.4
2024-06-01T08:16:33.000Z,S1,16.1,68.4
2024-06-01T08:17:53.000Z,S4,15.1,65.4
2024-06-01T08:18:51.000Z,S4,15.7,65.1
2024-06-01T08:19:47.000Z,S2,14.8,68.1
