metrekare,oda_sayisi,bina_yasi,semt,fiyat
195,7,34,Sahil,5823000
184,6,33,Üniversite,4109000
135,3,23,Yeni Mahalle,3117000
113,3,20,Merkez,3296000
69,2,25,Yeni Mahalle,1477000
101,2,3,Üniversite,3054000
95,4,15,Yeni Mahalle,2287000
92,4,12,Sanayi,2104000
154,5,23,Merkez,4278000
115,3,13,Sanayi,2415000
127,5,39,Sahil,3517000
72,3,4,Sahil,2974000
162,4,11,Sahil,6087000
88,3,26,Merkez,2385000
214,6,3,Sahil,8358000
82,2,39,Merkez,2040000
176,5,33,Merkez,4584000
56,3,39,Merkez,1254000
94,4,7,Sanayi,2256000
59,2,30,Sanayi,1037000
217,6,7,Yeni Mahalle,5699000
202,7,4,Sanayi,4745000
138,4,23,Yeni Mahalle,3080000
171,5,35,Üniversite,3805000
175,6,2,Sanayi,4112000
208,5,31,Sahil,6414000
186,6,16,Sahil,6472000
67,3,2,Sahil,2624000
56,2,19,Sahil,1893000
78,1,37,Sanayi,1173000
123,3,14,Merkez,3855000
208,5,22,Merkez,5897000
86,1,10,Üniversite,2289000
188,4,19,Merkez,5650000
103,2,11,Yeni Mahalle,2612000
112,3,28,Üniversite,2654000
183,5,10,Sanayi,3938000
128,4,6,Sanayi,3029000
124,3,21,Merkez,3695000
56,3,12,Merkez,1785000
92,3,5,Yeni Mahalle,2436000
71,2,23,Sahil,2302000
63,2,25,Merkez,1752000
216,5,28,Yeni Mahalle,4696000
160,5,22,Yeni Mahalle,3754000
206,5,20,Merkez,6005000
128,3,20,Sanayi,2561000
124,3,21,Merkez,3672000
161,4,18,Yeni Mahalle,3943000
181,4,33,Sahil,5286000
94,4,30,Yeni Mahalle,2017000
75,1,36,Üniversite,1583000
67,1,25,Üniversite,1507000
195,6,2,Yeni Mahalle,5406000
195,7,9,Üniversite,5543000
214,6,35,Merkez,5259000
132,4,34,Üniversite,3085000
49,1,5,Sahil,1810000
162,4,30,Yeni Mahalle,3565000
49,1,13,Yeni Mahalle,1089000
178,6,2,Yeni Mahalle,4910000
190,6,4,Merkez,6397000
213,6,2,Sahil,8590000
208,5,39,Üniversite,4351000
206,5,1,Sahil,8362000
140,4,18,Sahil,4738000
202,7,7,Üniversite,5915000
209,5,15,Yeni Mahalle,5292000
81,3,32,Sanayi,1399000
180,4,27,Yeni Mahalle,3895000
123,4,5,Yeni Mahalle,3205000
71,2,25,Sanayi,1371000
